Datetime,open,high,low,close,volume
2022-08-28 18:00:00-04:00,1748.4000244140625,1749.0,1748.0999755859375,1748.4000244140625,0
2022-08-28 18:01:00-04:00,1748.300048828125,1749.800048828125,1748.199951171875,1749.5999755859375,63
2022-08-28 18:02:00-04:00,1749.199951171875,1749.199951171875,1747.9000244140625,1748.0,87
2022-08-28 18:03:00-04:00,1748.0999755859375,1748.0999755859375,1747.300048828125,1747.800048828125,79
2022-08-28 18:04:00-04:00,1747.699951171875,1747.800048828125,1746.5,1747.199951171875,135
2022-08-28 18:05:00-04:00,1747.0999755859375,1747.4000244140625,1746.699951171875,1747.4000244140625,54
2022-08-28 18:06:00-04:00,1747.300048828125,1748.9000244140625,1747.199951171875,1748.800048828125,95
2022-08-28 18:07:00-04:00,1748.699951171875,1748.9000244140625,1748.0999755859375,1748.9000244140625,60
2022-08-28 18:08:00-04:00,1748.800048828125,1750.699951171875,1748.800048828125,1749.5,136
2022-08-28 18:09:00-04:00,1749.4000244140625,1749.699951171875,1748.800048828125,1749.5,79
2022-08-28 18:10:00-04:00,1749.300048828125,1749.800048828125,1748.699951171875,1749.699951171875,120
2022-08-28 18:11:00-04:00,1749.800048828125,1749.9000244140625,1749.300048828125,1749.300048828125,66
2022-08-28 18:12:00-04:00,1749.300048828125,1749.9000244140625,1749.199951171875,1749.699951171875,41
2022-08-28 18:13:00-04:00,1749.800048828125,1750.0999755859375,1749.800048828125,1749.800048828125,38
2022-08-28 18:14:00-04:00,1749.800048828125,1749.9000244140625,1749.4000244140625,1749.699951171875,63
2022-08-28 18:15:00-04:00,1749.5,1749.699951171875,1748.699951171875,1748.9000244140625,25
2022-08-28 18:16:00-04:00,1749.0,1749.0999755859375,1748.699951171875,1748.699951171875,9
2022-08-28 18:17:00-04:00,1748.800048828125,1748.800048828125,1748.300048828125,1748.699951171875,33
2022-08-28 18:18:00-04:00,1748.699951171875,1749.0,1748.5999755859375,1748.5999755859375,35
2022-08-28 18:19:00-04:00,1748.699951171875,1749.0999755859375,1748.5,1748.5,28
2022-08-28 18:20:00-04:00,1748.5999755859375,1749.199951171875,1748.4000244140625,1748.699951171875,66
2022-08-28 18:21:00-04:00,1748.5,1749.0999755859375,1748.5,1748.9000244140625,16
2022-08-28 18:22:00-04:00,1748.9000244140625,1749.0999755859375,1748.699951171875,1748.800048828125,21
2022-08-28 18:23:00-04:00,1748.5,1748.9000244140625,1748.5,1748.9000244140625,15
2022-08-28 18:24:00-04:00,1748.699951171875,1749.0,1748.699951171875,1748.9000244140625,13
2022-08-28 18:25:00-04:00,1748.699951171875,1748.800048828125,1748.5,1748.800048828125,17
2022-08-28 18:26:00-04:00,1748.800048828125,1749.300048828125,1748.800048828125,1749.0999755859375,33
2022-08-28 18:27:00-04:00,1749.0999755859375,1749.300048828125,1748.5999755859375,1748.9000244140625,50
2022-08-28 18:28:00-04:00,1748.800048828125,1748.800048828125,1748.5999755859375,1748.5999755859375,21
2022-08-28 18:29:00-04:00,1748.5,1748.5999755859375,1748.4000244140625,1748.5999755859375,10
2022-08-28 18:30:00-04:00,1748.5999755859375,1748.9000244140625,1748.5999755859375,1748.800048828125,17
